metric,PLS_n,PLS_mean,PLS_median,PLS_std,PLS_min,PLS_max,TECH_n,TECH_mean,TECH_median,TECH_std,TECH_min,TECH_max,ALL_n,ALL_mean,ALL_median,ALL_std,ALL_min,ALL_max
alpha_ratio,65,0.8551957802910373,0.862796833773087,0.06330966691266399,0.6491228070175439,0.9588477366255144,0,,,,,,65,0.8551957802910373,0.862796833773087,0.06330966691266397,0.6491228070175439,0.9588477366255144
automated_readability_index,65,18.88708309685451,18.45020080321285,5.083504245159854,8.629062499999996,33.95320695102685,0,,,,,,65,18.887083096854507,18.45020080321285,5.083504245159853,8.629062499999996,33.95320695102685
coleman_liau_index,65,14.277070873080675,14.26463878326996,2.3679794846757,8.19958333333333,21.234,0,,,,,,65,14.277070873080675,14.26463878326996,2.367979484675701,8.19958333333333,21.234
contains_lorem ipsum,65,0.0,0.0,0.0,0.0,0.0,0,,,,,,65,0.0,0.0,0.0,0.0,0.0
dependency_distance_mean,65,3.2888881096159475,3.183915886157265,0.5159721743960884,2.426882857006188,4.797727433121255,0,,,,,,65,3.288888109615948,3.183915886157265,0.5159721743960884,2.426882857006188,4.797727433121255
dependency_distance_std,65,0.9718028451885347,0.778507758745823,0.6632961007687933,0.0,4.570932915876944,0,,,,,,65,0.9718028451885345,0.778507758745823,0.6632961007687932,0.0,4.570932915876944
doc_length,65,343.7230769230769,332.0,153.83691727080537,21.0,774.0,0,,,,,,65,343.7230769230769,332.0,153.83691727080537,21.0,774.0
duplicate_line_chr_fraction,65,0.0,0.0,0.0,0.0,0.0,0,,,,,,65,0.0,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,65,0.03970729777139349,0.0,0.0787452265210757,0.0,0.3869944488501189,0,,,,,,65,0.039707297771393486,0.0,0.07874522652107568,0.0,0.3869944488501189
duplicate_ngram_chr_fraction_5,65,0.129191723850527,0.1068859198355601,0.10392625908673875,0.0,0.5567010309278351,0,,,,,,65,0.129191723850527,0.1068859198355601,0.10392625908673873,0.0,0.5567010309278351
duplicate_ngram_chr_fraction_6,65,0.09074712871130358,0.0678300954889693,0.09767830454891807,0.0,0.5416336241078509,0,,,,,,65,0.09074712871130358,0.0678300954889693,0.09767830454891807,0.0,0.5416336241078509
duplicate_ngram_chr_fraction_7,65,0.06577970274649754,0.0332688588007736,0.0910838476245958,0.0,0.4551942902458366,0,,,,,,65,0.06577970274649754,0.0332688588007736,0.0910838476245958,0.0,0.4551942902458366
