metric,overlap,p_adj_fdr,cliffs_delta,cliff_cat,cohens_d,direction,relevancia,n_pls,n_tech
pos_prop_VERB,0.4132676310638983,2.670665329752754e-11,0.7058333333333333,large,1.4946829647483089,PLS > TECH,Moderada,60,60
pos_prop_PRON,0.4395076923224055,1.480886555321206e-11,0.7147222222222223,large,1.4447366870133949,PLS > TECH,Moderada,60,60
pos_prop_PROPN,0.5241848983453602,1.974291490614084e-09,-0.6358333333333334,large,-1.0338641252298115,TECH > PLS,Baja,60,60
per_word_perplexity,0.0067431963633666,8.83363667991307e-05,-0.4205555555555555,medium,0.1824290924827632,TECH > PLS,Muy discriminativa,60,60
dependency_distance_mean,0.6696654561302808,7.675764941652395e-07,-0.5244444444444445,large,-0.3679957546681,TECH > PLS,Baja,60,60
n_unique_tokens,0.6493578361220211,1.5522854315133622e-06,-0.51,large,-0.9709207134947576,TECH > PLS,Baja,60,60
